Time,Stock,Sector,Revenues,Operating profit ,Net income (profit),Average equity (owner),Asset (total),Score
Q4-2022,AST,Retail,216234,27452,17859,455474,578866,0.0524
Q4-2022,BTT,Retail,53081,9588,7410,371668,477570,0.0652
Q4-2022,CCI,Retail,109421,16777,13691,264654,778312,0.1214
Q4-2022,CRC,Retail,77812,3825,3703,375978,647305,0.0593
Q4-2022,CTF,Retail,2246749,52647,34916,924430,2573302,0.0853
Q4-2022,DGW,Retail,4075123,200037,155754,2423282,6355289,0.0525
Q4-2022,FRT,Retail,8457820,113015,94543,2049336,10464315,0.1255
Q4-2022,HAX,Retail,1587675,48060,46701,957270,2426790,0.0578
Q4-2022,MWG,Retail,30588381,964210,619041,23932582,55834210,0.0104
Q4-2022,PNJ,Retail,8301982,591388,466419,8587800,13321105,0.0293
Q4-2022,SVC,Retail,7029013,178348,83135,2455669,6156680,0.0897
Q4-2022,VMD,Retail,1613040,23871,18373,419286,3051895,0.1616
Q4-2022,ABR,Service,28716,12095,9120,284839,373492,2.9252e-07
Q4-2022,ASP,Service,955184,6137,40591,494368,2078140,4.6295e-05
Q4-2022,BWE,Service,1043251,189242,167579,4537719,9987127,4.3393e-06
Q4-2022,CHP,Service,375825,175416,174536,1978871,3259700,3.5238e-06
Q4-2022,CLW,Service,327925,7987,8620,244411,507011,4.4027e-05
Q4-2022,CNG,Service,925774,42647,35634,576575,1661609,3.6827e-05
Q4-2022,DRL,Service,31952,18880,15261,115881,133239,1.0
Q4-2022,GAS,Service,22051958,4149041,3250038,61317292,82806381,6.8057e-06
Q4-2022,GEG,Service,495880,30511,18602,5629735,17118154,1.6024e-06
Q4-2022,GSP,Service,425638,28839,27861,736508,1490884,1.2096e-05
Q4-2022,KHP,Service,1286043,60203,49671,707692,2209790,4.0181e-05
Q4-2022,NT2,Service,1923133,10992,5757,4459748,7285247,8.2481e-06
Q4-2022,PGC,Service,992424,38282,32201,807286,2521592,2.6361e-05
Q4-2022,PGD,Service,2515448,196284,153803,1555217,3611777,3.2675e-05
Q4-2022,PGV,Service,12348218,730536,623969,17453172,65725751,1.3439e-05
Q4-2022,POW,Service,7669214,840774,683865,33106206,56641700,4.3801e-06
Q4-2022,PPC,Service,1575836,79928,68975,5040579,5643314,7.1734e-06
Q4-2022,REE,Service,3070244,1145279,719193,19211302,33928095,3.0124e-06
Q4-2022,S4A,Service,99695,73481,92272,638871,1011086,2.5668e-06
Q4-2022,SBA,Service,196207,110957,99749,949789,1324760,3.7986e-06
Q4-2022,SHP,Service,186318,76486,41712,1444414,1768990,2.4615e-06
Q4-2022,SJD,Service,92417,11404,8797,1096615,1435387,3.0124e-06
Q4-2022,TBC,Service,187844,102640,76688,1374309,1594504,2.7821e-06
Q4-2022,TDM,Service,125784,76649,73915,2040817,2404429,1.0919e-06
Q4-2022,TDW,Service,309934,13711,15063,197261,418272,6.5355e-05
Q4-2022,TMP,Service,268619,176833,143030,1690613,2294020,6.5355e-05
Q4-2022,TTA,Service,181831,41548,36933,1933720,4605531,1.593e-06
Q4-2022,TTE,Service,48674,20796,19750,314441,1335201,1.901e-06
Q4-2022,VPD,Service,157001,63599,64575,1532127,2005945,1.7501e-06
Q4-2022,VSH,Service,962811,517171,382127,5025193,9710316,3.5985e-06
Q4-2022,DAH,Tourism and entertainment,14771,3488,2394,912586,1162257,0.9236
Q4-2022,DSN,Tourism and entertainment,20566,11724,8715,250798,283336,0.9844
Q4-2022,VNG,Tourism and entertainment,193481,3403,277,1115668,2842746,0.9063
Q4-2022,VNS,Tourism and entertainment,324726,46144,55310,1384917,1836573,0.9035
